19:34:31: ( 3 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 602 , 1354128383 , Head Shot ) Er's Head Shot hits Elite Practice Dummy for 602 Physical damage. 
19:36:53: ( 9 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250411512 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 0 , 790486949 , Enhanced Storm Burst ) Kinesthetic's Enhanced Storm Burst dissipates from Normal Practice Dummy.
19:36:53: ( 4 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250420486 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 292 , 1509965523 , Fiery Burst ) Normal Practice Dummy suffers 292 Fire damage from Kinesthetic's Fiery Burst. 
19:36:53: ( 27 , T=P#R=O#211669182722109483 , T=P#R=O#211669182722109483 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Kinesthetic , 10 , 148138694 , Planar Blade ) Kinesthetic's Planar Blade gives Kinesthetic 10 Power.
19:36:54: ( 8 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250420486 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 0 , 1545567662 , Frost Strike ) Normal Practice Dummy is afflicted by Kinesthetic's Frost Strike.
19:36:54: ( 23 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250420486 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 630 , 1545567662 , Frost Strike ) Kinesthetic's Frost Strike critically hits Normal Practice Dummy for 630 Water damage. 
19:36:54: ( 3 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250420486 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 89 , 673870226 , Elemental Touch ) Kinesthetic's Elemental Touch hits Normal Practice Dummy for 89 Air damage. 
19:36:54: ( 9 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 0 , 1243745316 , Barbed Shot ) Er's Barbed Shot dissipates from Elite Practice Dummy.
19:36:54: ( 8 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 0 , 1243745316 , Barbed Shot ) Elite Practice Dummy is afflicted by Er's Barbed Shot.
19:36:54: ( 23 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 265 , 1243745316 , Barbed Shot ) Er's Barbed Shot critically hits Elite Practice Dummy for 265 Physical damage. 
19:36:54: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 127 , 993221111 , Necrosis ) Boss Practice Dummy suffers 127 Death damage from Aoife's Necrosis. 
19:36:54: ( 23 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 138 , 1210012596 , Auto Attack ) Er's Auto Attack critically hits Elite Practice Dummy for 138 Physical damage. 
19:36:54: ( 3 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250420486 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 86 , 2011189188 , Auto Attack ) Kinesthetic's Auto Attack hits Normal Practice Dummy for 86 Physical damage. 
19:36:54: ( 23 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250420486 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 172 , 1270156362 , Auto Attack ) Kinesthetic's Auto Attack critically hits Normal Practice Dummy for 172 Physical damage. 
19:36:54: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 186 , 1055329214 , Dark Touch ) Boss Practice Dummy suffers 186 Death damage from Aoife's Dark Touch. 
19:36:54: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech heals Aoife for 0. 
19:36:54: ( 4 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250420486 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 292 , 1509965523 , Fiery Burst ) Normal Practice Dummy suffers 292 Fire damage from Kinesthetic's Fiery Burst. 
19:36:55: ( 28 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech critically heals Aoife for 0. (104 overheal)
19:36:55: ( 23 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 267 , 1969688444 , Life Leech ) Aoife's Life Leech critically hits Boss Practice Dummy for 267 Death damage. 
19:36:55: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 249 , 764255181 , Defile ) Boss Practice Dummy suffers 249 Death damage from Aoife's Defile. 
19:36:55: ( 9 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250420486 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 0 , 1545567662 , Frost Strike ) Kinesthetic's Frost Strike dissipates from Normal Practice Dummy.
19:36:55: ( 3 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250420486 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 357 , 1817878418 , Thunder Strike ) Kinesthetic's Thunder Strike hits Normal Practice Dummy for 357 Air damage. 
19:36:55: ( 3 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250420486 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 89 , 673870226 , Elemental Touch ) Kinesthetic's Elemental Touch hits Normal Practice Dummy for 89 Air damage. 
19:36:55: ( 23 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 942 , 1661668470 , Void Bolt ) Aoife's Void Bolt critically hits Boss Practice Dummy for 942 Death damage. 
19:36:55: ( 3 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 623 , 1661668470 , Void Bolt ) Aoife's Void Bolt hits Boss Practice Dummy for 623 Death damage. 
19:36:55: ( 9 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250420486 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 0 , 1509965523 , Fiery Burst ) Kinesthetic's Fiery Burst dissipates from Normal Practice Dummy.
19:36:55: ( 4 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250420486 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 292 , 1509965523 , Fiery Burst ) Normal Practice Dummy suffers 292 Fire damage from Kinesthetic's Fiery Burst. 
19:36:56: ( 27 , T=P#R=O#211669182722109483 , T=P#R=O#211669182722109483 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Kinesthetic , 1 , 148138694 , Planar Blade ) Kinesthetic's Planar Blade gives Kinesthetic 1 Power.
19:36:56: ( 3 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250420486 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 108 , 2011189188 , Auto Attack ) Kinesthetic's Auto Attack hits Normal Practice Dummy for 108 Physical damage. 
19:36:56: ( 23 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250411512 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 580 , 1817878418 , Thunder Strike ) Kinesthetic's Thunder Strike critically hits Normal Practice Dummy for 580 Air damage. 
19:36:56: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 127 , 993221111 , Necrosis ) Boss Practice Dummy suffers 127 Death damage from Aoife's Necrosis. 
19:36:56: ( 3 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250420486 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 115 , 1270156362 , Auto Attack ) Kinesthetic's Auto Attack hits Normal Practice Dummy for 115 Physical damage. 
19:36:56: ( 1 , T=P#R=O#211669182557759289 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Er , Unknown , 0 , 398304460 , Empowered Shot ) Er begins casting Empowered Shot.
19:36:56: ( 3 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250411517 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 496 , 1817878418 , Thunder Strike ) Kinesthetic's Thunder Strike hits Normal Practice Dummy for 496 Air damage. 
19:36:56: ( 5 , T=P#R=O#211669182722109483 , T=P#R=O#211669182722109483 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Kinesthetic , 0 , 748009254 , Soul Sickness ) Kinesthetic's Soul Sickness heals Kinesthetic for 0. 
19:36:56: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech heals Aoife for 0. (66 overheal)
19:36:56: ( 4 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250420486 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 86 , 748009254 , Soul Sickness ) Normal Practice Dummy suffers 86 Death damage from Kinesthetic's Soul Sickness. 
19:36:56: ( 9 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 1055329214 , Dark Touch ) Aoife's Dark Touch dissipates from Boss Practice Dummy.
19:36:56: ( 9 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 1969688444 , Life Leech ) Aoife's Life Leech dissipates from Boss Practice Dummy.
19:36:56: ( 8 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 1969688444 , Life Leech ) Boss Practice Dummy is afflicted by Aoife's Life Leech.
19:36:56: ( 8 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 1055329214 , Dark Touch ) Boss Practice Dummy is afflicted by Aoife's Dark Touch.
19:36:56: ( 3 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 171 , 1969688444 , Life Leech ) Aoife's Life Leech hits Boss Practice Dummy for 171 Death damage. 
19:36:56: ( 3 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 143 , 1055329214 , Dark Touch ) Aoife's Dark Touch hits Boss Practice Dummy for 143 Death damage. 
19:36:56: ( 6 , T=P#R=O#211669182722109483 , T=P#R=O#211669182722109483 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Kinesthetic , 0 , 1254452783 , Earth Burst ) Kinesthetic gains Kinesthetic's Earth Burst.
19:36:57: ( 3 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250420486 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 458 , 1898699290 , Stonespear ) Kinesthetic's Stonespear hits Normal Practice Dummy for 458 Earth damage. 
19:36:57: ( 3 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250420486 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 89 , 673870226 , Elemental Touch ) Kinesthetic's Elemental Touch hits Normal Practice Dummy for 89 Air damage. 
19:36:57: ( 26 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250420486 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 0 , 1330759450 , Stonespear ) Normal Practice Dummy is immune to Kinesthetic's Stonespear.
19:36:57: ( 27 , T=P#R=O#211669182722109483 , T=P#R=O#211669182722109483 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Kinesthetic , 10 , 148138694 , Planar Blade ) Kinesthetic's Planar Blade gives Kinesthetic 10 Power.
19:36:57: ( 23 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 373 , 764255181 , Defile ) Aoife's Defile critically hits Boss Practice Dummy for 373 Death damage. 
19:36:57: ( 9 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250411517 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 0 , 1580629321 , Enhanced Fiery Burst ) Kinesthetic's Enhanced Fiery Burst dissipates from Normal Practice Dummy.
19:36:57: ( 23 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250420486 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 172 , 2011189188 , Auto Attack ) Kinesthetic's Auto Attack critically hits Normal Practice Dummy for 172 Physical damage. 
19:36:58: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech heals Aoife for 0. 
19:36:58: ( 1 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Unknown , 0 , 1661668470 , Void Bolt ) Aoife begins casting Void Bolt.
19:36:58: ( 26 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250420486 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 0 , 1254452783 , Earth Burst ) Normal Practice Dummy is immune to Kinesthetic's Earth Burst.
19:36:58: ( 7 , T=P#R=O#211669182722109483 , T=P#R=O#211669182722109483 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Kinesthetic , 0 , 1254452783 , Earth Burst ) Kinesthetic's Earth Burst fades from Kinesthetic.
19:36:58: ( 27 , T=P#R=O#211669182722109483 , T=P#R=O#211669182722109483 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Kinesthetic , 10 , 148138694 , Planar Blade ) Kinesthetic's Planar Blade gives Kinesthetic 10 Power.
19:36:58: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 127 , 993221111 , Necrosis ) Boss Practice Dummy suffers 127 Death damage from Aoife's Necrosis. 
19:36:58: ( 26 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250411512 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 0 , 1254452783 , Earth Burst ) Normal Practice Dummy is immune to Kinesthetic's Earth Burst.
19:36:58: ( 8 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250420486 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 0 , 1043039619 , Enhanced Earth Burst ) Normal Practice Dummy is afflicted by Kinesthetic's Enhanced Earth Burst.
19:36:58: ( 23 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250420486 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 172 , 1270156362 , Auto Attack ) Kinesthetic's Auto Attack critically hits Normal Practice Dummy for 172 Physical damage. 
19:36:58: ( 23 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250420486 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 1250 , 1254452783 , Earth Burst ) Kinesthetic's Earth Burst critically hits Normal Practice Dummy for 1250 Earth damage. 
19:36:58: ( 3 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250420486 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 89 , 673870226 , Elemental Touch ) Kinesthetic's Elemental Touch hits Normal Practice Dummy for 89 Air damage. 
19:36:58: ( 23 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 447 , 398304460 , Empowered Shot ) Er's Empowered Shot critically hits Elite Practice Dummy for 447 Physical damage. 
19:36:58: ( 3 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 76 , 1918871266 , Master Archer ) Er's Master Archer hits Elite Practice Dummy for 76 Air damage. 
19:36:58: ( 26 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250411517 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 0 , 1254452783 , Earth Burst ) Normal Practice Dummy is immune to Kinesthetic's Earth Burst.
19:36:58: ( 27 , T=P#R=O#211669182722109483 , T=P#R=O#211669182722109483 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Kinesthetic , 10 , 148138694 , Planar Blade ) Kinesthetic's Planar Blade gives Kinesthetic 10 Power.
19:36:58: ( 8 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250411512 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 0 , 1043039619 , Enhanced Earth Burst ) Normal Practice Dummy is afflicted by Kinesthetic's Enhanced Earth Burst.
19:36:58: ( 3 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250411512 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 834 , 1254452783 , Earth Burst ) Kinesthetic's Earth Burst hits Normal Practice Dummy for 834 Earth damage. 
19:36:58: ( 3 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 70 , 1210012596 , Auto Attack ) Er's Auto Attack hits Elite Practice Dummy for 70 Physical damage. 
19:36:58: ( 8 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250411517 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 0 , 1043039619 , Enhanced Earth Burst ) Normal Practice Dummy is afflicted by Kinesthetic's Enhanced Earth Burst.
19:36:58: ( 23 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250411517 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 1250 , 1254452783 , Earth Burst ) Kinesthetic's Earth Burst critically hits Normal Practice Dummy for 1250 Earth damage. 
19:36:58: ( 28 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech critically heals Aoife for 0. (99 overheal)
19:36:58: ( 3 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250420486 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 340 , 652532638 , Flamespear ) Kinesthetic's Flamespear hits Normal Practice Dummy for 340 Fire damage. 
19:36:58: ( 23 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 256 , 1969688444 , Life Leech ) Aoife's Life Leech critically hits Boss Practice Dummy for 256 Death damage. 
19:36:58: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 143 , 1055329214 , Dark Touch ) Boss Practice Dummy suffers 143 Death damage from Aoife's Dark Touch. 
19:36:59: ( 5 , T=P#R=O#211669182722109483 , T=P#R=O#211669182722109483 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Kinesthetic , 0 , 748009254 , Soul Sickness ) Kinesthetic's Soul Sickness heals Kinesthetic for 0. 
19:36:59: ( 9 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250420486 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 0 , 748009254 , Soul Sickness ) Kinesthetic's Soul Sickness dissipates from Normal Practice Dummy.
19:36:59: ( 4 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250420486 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 111 , 748009254 , Soul Sickness ) Normal Practice Dummy suffers 111 Death damage from Kinesthetic's Soul Sickness. 
19:36:59: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 249 , 764255181 , Defile ) Boss Practice Dummy suffers 249 Death damage from Aoife's Defile. 
19:36:59: ( 1 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Unknown , 0 , 1661668470 , Void Bolt ) Aoife begins casting Void Bolt.
19:36:59: ( 3 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250420486 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 103 , 2011189188 , Auto Attack ) Kinesthetic's Auto Attack hits Normal Practice Dummy for 103 Physical damage. 
19:37:00: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 127 , 993221111 , Necrosis ) Boss Practice Dummy suffers 127 Death damage from Aoife's Necrosis. 
19:37:00: ( 3 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250420486 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 91 , 1270156362 , Auto Attack ) Kinesthetic's Auto Attack hits Normal Practice Dummy for 91 Physical damage. 
19:37:00: ( 3 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250420486 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 426 , 1817878418 , Thunder Strike ) Kinesthetic's Thunder Strike hits Normal Practice Dummy for 426 Air damage. 
19:37:00: ( 27 , T=P#R=O#211669182722109483 , T=P#R=O#211669182722109483 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Kinesthetic , 10 , 148138694 , Planar Blade ) Kinesthetic's Planar Blade gives Kinesthetic 10 Power.
19:37:00: ( 9 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 0 , 1243745316 , Barbed Shot ) Er's Barbed Shot dissipates from Elite Practice Dummy.
19:37:00: ( 3 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250420486 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 115 , 673870226 , Elemental Touch ) Kinesthetic's Elemental Touch hits Normal Practice Dummy for 115 Air damage. 
19:37:00: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech heals Aoife for 0. (66 overheal)
19:37:00: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 171 , 1969688444 , Life Leech ) Boss Practice Dummy suffers 171 Death damage from Aoife's Life Leech. 
19:37:00: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 143 , 1055329214 , Dark Touch ) Boss Practice Dummy suffers 143 Death damage from Aoife's Dark Touch. 
19:37:00: ( 3 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 657 , 1661668470 , Void Bolt ) Aoife's Void Bolt hits Boss Practice Dummy for 657 Death damage. 
19:37:00: ( 1 , T=P#R=O#211669182557759289 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Er , Unknown , 0 , 563799322 , Deadeye Shot ) Er begins casting Deadeye Shot.
19:37:00: ( 27 , T=P#R=O#211669182722109483 , T=P#R=O#211669182722109483 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Kinesthetic , 5 , 148138694 , Planar Blade ) Kinesthetic's Planar Blade gives Kinesthetic 5 Power.
19:37:00: ( 23 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250411512 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 753 , 1817878418 , Thunder Strike ) Kinesthetic's Thunder Strike critically hits Normal Practice Dummy for 753 Air damage. 
19:37:01: ( 3 , T=P#R=O#211669182722109483 , T=N#R=O#9223372041250411517 , T=X#R=X#0 , T=X#R=X#0 , Kinesthetic , Normal Practice Dummy , 500 , 1817878418 , Thunder Strike ) Kinesthetic's Thunder Strike hits Normal Practice Dummy for 500 Air damage. 
19:37:01: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech heals Aoife for 0. (69 overheal)
19:37:01: ( 9 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 993221111 , Necrosis ) Aoife's Necrosis dissipates from Boss Practice Dummy.
19:37:01: ( 9 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 764255181 , Defile ) Aoife's Defile dissipates from Boss Practice Dummy.
19:37:01: ( 9 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 1969688444 , Life Leech ) Aoife's Life Leech dissipates from Boss Practice Dummy.
19:37:01: ( 8 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 1969688444 , Life Leech ) Boss Practice Dummy is afflicted by Aoife's Life Leech.
19:37:01: ( 3 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 178 , 1969688444 , Life Leech ) Aoife's Life Leech hits Boss Practice Dummy for 178 Death damage. 
19:37:01: ( 8 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 993221111 , Necrosis ) Boss Practice Dummy is afflicted by Aoife's Necrosis.
19:37:01: ( 3 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 131 , 993221111 , Necrosis ) Aoife's Necrosis hits Boss Practice Dummy for 131 Death damage. 
