06:48:10: ( 7 , T=P#R=O#211669182502159132 , T=P#R=O#211669182502159132 , T=X#R=X#0 , T=X#R=X#0 , Erhellen , Erhellen , 0 , 1092610256 , Temporary Rune Buff ) Erhellen's Temporary Rune Buff fades from Erhellen.
06:49:52: ( 28 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1109565430 , Draining Bolt ) Aoife's Draining Bolt critically heals Aoife for 0. (560 overheal)
06:49:52: ( 23 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 1120 , 1109565430 , Draining Bolt ) Aoife's Draining Bolt critically hits Boss Practice Dummy for 1120 Death damage. 
06:49:52: ( 8 , T=P#R=O#211669182611350183 , T=P#R=O#211669182725801768 , T=X#R=X#0 , T=X#R=X#0 , Shananise , Kaoz , 0 , 1222178865 , Blast Charge ) Kaoz is afflicted by Shananise's Blast Charge.
06:49:53: ( 4 , T=P#R=O#211669182725801768 , T=P#R=O#211669182611350183 , T=X#R=X#0 , T=X#R=X#0 , Kaoz , Shananise , 31 , 1179017819 , Storm Blade ) Shananise suffers 31 Air damage from Kaoz's Storm Blade. 
06:49:53: ( 27 , T=P#R=O#211669182725801768 , T=P#R=O#211669182725801768 , T=X#R=X#0 , T=X#R=X#0 , Kaoz , Kaoz , 2 , 1792483085 , Grim Satisfaction ) Kaoz's Grim Satisfaction gives Kaoz 2 Power.
06:49:53: ( 23 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 299 , 1055329214 , Dark Touch ) Aoife's Dark Touch critically hits Boss Practice Dummy for 299 Death damage. 
06:49:53: ( 1 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Unknown , 0 , 1661668470 , Void Bolt ) Aoife begins casting Void Bolt.
06:49:53: ( 4 , T=P#R=O#211669182725801768 , T=P#R=O#211669182611350183 , T=X#R=X#0 , T=X#R=X#0 , Kaoz , Shananise , 132 , 1509965523 , Fiery Burst ) Shananise suffers 132 Fire damage from Kaoz's Fiery Burst. 
06:49:53: ( 28 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech critically heals Aoife for 0. (107 overheal)
06:49:53: ( 12 , T=P#R=O#211669182725801768 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Kaoz , Unknown , 0 , 0 ,  ) Kaoz has died.
06:49:53: ( 9 , T=P#R=O#211669182611350183 , T=P#R=O#211669182725801768 , T=X#R=X#0 , T=X#R=X#0 , Shananise , Kaoz , 0 , 1222178865 , Blast Charge ) Shananise's Blast Charge dissipates from Kaoz.
06:49:53: ( 3 , T=P#R=O#211669182611350183 , T=P#R=O#211669182725801768 , T=X#R=X#0 , T=X#R=X#0 , Shananise , Kaoz , 100 , 1900237252 , High Explosives ) Shananise's High Explosives hits Kaoz for 100 Physical damage. 
06:49:53: ( 3 , T=P#R=O#211669182611350183 , T=P#R=O#211669182725801768 , T=X#R=X#0 , T=X#R=X#0 , Shananise , Kaoz , 218 , 941276274 , Detonate ) Shananise's Detonate hits Kaoz for 218 Physical damage. 
06:49:53: ( 3 , T=P#R=O#211669182611350183 , T=P#R=O#211669182725801768 , T=X#R=X#0 , T=X#R=X#0 , Shananise , Kaoz , 205 , 1465083080 , Blast Charge ) Shananise's Blast Charge hits Kaoz for 205 Physical damage. 
06:49:53: ( 23 , T=P#R=O#211669182611350183 , T=P#R=O#211669182725801768 , T=X#R=X#0 , T=X#R=X#0 , Shananise , Kaoz , 368 , 1465083080 , Blast Charge ) Shananise's Blast Charge critically hits Kaoz for 368 Physical damage. (208 overkill)
06:49:53: ( 23 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 275 , 1969688444 , Life Leech ) Aoife's Life Leech critically hits Boss Practice Dummy for 275 Death damage. 
06:49:53: ( 9 , T=P#R=O#211669182725801768 , T=P#R=O#211669182611350183 , T=X#R=X#0 , T=X#R=X#0 , Kaoz , Shananise , 0 , 1179017819 , Storm Blade ) Kaoz's Storm Blade dissipates from Shananise.
06:49:53: ( 9 , T=P#R=O#211669182725801768 , T=P#R=O#211669182611350183 , T=X#R=X#0 , T=X#R=X#0 , Kaoz , Shananise , 0 , 1509965523 , Fiery Burst ) Kaoz's Fiery Burst dissipates from Shananise.
06:49:54: ( 28 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1109565430 , Draining Bolt ) Aoife's Draining Bolt critically heals Aoife for 0. 
06:49:54: ( 9 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 993221111 , Necrosis ) Aoife's Necrosis dissipates from Boss Practice Dummy.
06:49:54: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 134 , 993221111 , Necrosis ) Boss Practice Dummy suffers 134 Death damage from Aoife's Necrosis. 
06:49:54: ( 27 , T=P#R=O#211669182725801768 , T=P#R=O#211669182725801768 , T=X#R=X#0 , T=X#R=X#0 , Kaoz , Kaoz , 2 , 1792483085 , Grim Satisfaction ) Kaoz's Grim Satisfaction gives Kaoz 2 Power.
06:49:54: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 256 , 764255181 , Defile ) Boss Practice Dummy suffers 256 Death damage from Aoife's Defile. 
06:49:55: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 199 , 1055329214 , Dark Touch ) Boss Practice Dummy suffers 199 Death damage from Aoife's Dark Touch. 
06:49:55: ( 8 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 993221111 , Necrosis ) Boss Practice Dummy is afflicted by Aoife's Necrosis.
06:49:55: ( 23 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 202 , 993221111 , Necrosis ) Aoife's Necrosis critically hits Boss Practice Dummy for 202 Death damage. 
06:49:55: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech heals Aoife for 0. (71 overheal)
06:49:55: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 183 , 1969688444 , Life Leech ) Boss Practice Dummy suffers 183 Death damage from Aoife's Life Leech. 
06:49:55: ( 3 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 674 , 1661668470 , Void Bolt ) Aoife's Void Bolt hits Boss Practice Dummy for 674 Death damage. 
06:49:56: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech heals Aoife for 0. (71 overheal)
06:49:56: ( 9 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 1969688444 , Life Leech ) Aoife's Life Leech dissipates from Boss Practice Dummy.
06:49:56: ( 8 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 1969688444 , Life Leech ) Boss Practice Dummy is afflicted by Aoife's Life Leech.
06:49:56: ( 3 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 183 , 1969688444 , Life Leech ) Aoife's Life Leech hits Boss Practice Dummy for 183 Death damage. 
06:49:56: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 256 , 764255181 , Defile ) Boss Practice Dummy suffers 256 Death damage from Aoife's Defile. 
06:49:57: ( 23 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 299 , 1055329214 , Dark Touch ) Aoife's Dark Touch critically hits Boss Practice Dummy for 299 Death damage. 
06:49:57: ( 23 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 970 , 1661668470 , Void Bolt ) Aoife's Void Bolt critically hits Boss Practice Dummy for 970 Death damage. 
06:49:57: ( 23 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 202 , 993221111 , Necrosis ) Aoife's Necrosis critically hits Boss Practice Dummy for 202 Death damage. 
06:49:57: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech heals Aoife for 0. 
06:49:58: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech heals Aoife for 0. (71 overheal)
06:49:58: ( 9 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 1969688444 , Life Leech ) Aoife's Life Leech dissipates from Boss Practice Dummy.
06:49:58: ( 8 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 1969688444 , Life Leech ) Boss Practice Dummy is afflicted by Aoife's Life Leech.
06:49:58: ( 3 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 183 , 1969688444 , Life Leech ) Aoife's Life Leech hits Boss Practice Dummy for 183 Death damage. 
06:49:58: ( 1 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Unknown , 0 , 1661668470 , Void Bolt ) Aoife begins casting Void Bolt.
06:49:58: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 256 , 764255181 , Defile ) Boss Practice Dummy suffers 256 Death damage from Aoife's Defile. 
06:49:58: ( 9 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 528423916 , Neddra's Torture ) Aoife's Neddra's Torture dissipates from Boss Practice Dummy.
06:49:58: ( 3 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 557 , 528423916 , Neddra's Torture ) Aoife's Neddra's Torture hits Boss Practice Dummy for 557 Death damage. 
06:49:59: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech heals Aoife for 0. 
06:49:59: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 194 , 1055329214 , Dark Touch ) Boss Practice Dummy suffers 194 Death damage from Aoife's Dark Touch. 
06:49:59: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 131 , 993221111 , Necrosis ) Boss Practice Dummy suffers 131 Death damage from Aoife's Necrosis. 
06:49:59: ( 1 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Unknown , 0 , 528423916 , Neddra's Torture ) Aoife begins casting Neddra's Torture.
06:49:59: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech heals Aoife for 0. (69 overheal)
06:50:00: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 178 , 1969688444 , Life Leech ) Boss Practice Dummy suffers 178 Death damage from Aoife's Life Leech. 
06:50:00: ( 3 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 626 , 1661668470 , Void Bolt ) Aoife's Void Bolt hits Boss Practice Dummy for 626 Death damage. 
06:50:00: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 249 , 764255181 , Defile ) Boss Practice Dummy suffers 249 Death damage from Aoife's Defile. 
06:50:00: ( 1 , T=P#R=O#211669182725801768 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Kaoz , Unknown , 0 , 1998712331 , Ironpine Melange ) Kaoz begins casting Ironpine Melange.
06:50:01: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech heals Aoife for 0. (69 overheal)
06:50:01: ( 9 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 1969688444 , Life Leech ) Aoife's Life Leech dissipates from Boss Practice Dummy.
06:50:01: ( 8 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 1969688444 , Life Leech ) Boss Practice Dummy is afflicted by Aoife's Life Leech.
06:50:01: ( 8 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 528423916 , Neddra's Torture ) Boss Practice Dummy is afflicted by Aoife's Neddra's Torture.
06:50:01: ( 3 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 178 , 1969688444 , Life Leech ) Aoife's Life Leech hits Boss Practice Dummy for 178 Death damage. 
06:50:01: ( 5 , T=P#R=O#211669182725801768 , T=P#R=O#211669182725801768 , T=X#R=X#0 , T=X#R=X#0 , Kaoz , Kaoz , 439 , 1998712331 , Ironpine Melange ) Kaoz's Ironpine Melange heals Kaoz for 439. 
06:50:01: ( 6 , T=P#R=O#211669182725801768 , T=P#R=O#211669182725801768 , T=X#R=X#0 , T=X#R=X#0 , Kaoz , Kaoz , 0 , 1998712331 , Ironpine Melange ) Kaoz gains Kaoz's Ironpine Melange.
06:50:01: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 199 , 1055329214 , Dark Touch ) Boss Practice Dummy suffers 199 Death damage from Aoife's Dark Touch. 
06:50:01: ( 23 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 202 , 993221111 , Necrosis ) Aoife's Necrosis critically hits Boss Practice Dummy for 202 Death damage. 
06:50:01: ( 1 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Unknown , 0 , 1661668470 , Void Bolt ) Aoife begins casting Void Bolt.
06:50:02: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech heals Aoife for 0. 
06:50:02: ( 5 , T=P#R=O#211669182725801768 , T=P#R=O#211669182725801768 , T=X#R=X#0 , T=X#R=X#0 , Kaoz , Kaoz , 439 , 1998712331 , Ironpine Melange ) Kaoz's Ironpine Melange heals Kaoz for 439. 
06:50:02: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 256 , 764255181 , Defile ) Boss Practice Dummy suffers 256 Death damage from Aoife's Defile. 
06:50:03: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech heals Aoife for 0. (71 overheal)
06:50:03: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 183 , 1969688444 , Life Leech ) Boss Practice Dummy suffers 183 Death damage from Aoife's Life Leech. 
06:50:03: ( 5 , T=P#R=O#211669182725801768 , T=P#R=O#211669182725801768 , T=X#R=X#0 , T=X#R=X#0 , Kaoz , Kaoz , 439 , 1998712331 , Ironpine Melange ) Kaoz's Ironpine Melange heals Kaoz for 439. 
06:50:03: ( 9 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 1055329214 , Dark Touch ) Aoife's Dark Touch dissipates from Boss Practice Dummy.
06:50:03: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 199 , 1055329214 , Dark Touch ) Boss Practice Dummy suffers 199 Death damage from Aoife's Dark Touch. 
06:50:03: ( 23 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 202 , 993221111 , Necrosis ) Aoife's Necrosis critically hits Boss Practice Dummy for 202 Death damage. 
06:50:03: ( 8 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 1055329214 , Dark Touch ) Boss Practice Dummy is afflicted by Aoife's Dark Touch.
06:50:03: ( 3 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 153 , 1055329214 , Dark Touch ) Aoife's Dark Touch hits Boss Practice Dummy for 153 Death damage. 
06:50:04: ( 23 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 1019 , 1661668470 , Void Bolt ) Aoife's Void Bolt critically hits Boss Practice Dummy for 1019 Death damage. 
06:50:04: ( 5 , T=P#R=O#211669182725801768 , T=P#R=O#211669182725801768 , T=X#R=X#0 , T=X#R=X#0 , Kaoz , Kaoz , 439 , 1998712331 , Ironpine Melange ) Kaoz's Ironpine Melange heals Kaoz for 439. 
06:50:04: ( 7 , T=P#R=O#211669182725801768 , T=P#R=O#211669182725801768 , T=X#R=X#0 , T=X#R=X#0 , Kaoz , Kaoz , 0 , 984404358 , Paired Strike ) Kaoz's Paired Strike fades from Kaoz.
06:50:04: ( 23 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 384 , 764255181 , Defile ) Aoife's Defile critically hits Boss Practice Dummy for 384 Death damage. 
06:50:04: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech heals Aoife for 0. (71 overheal)
06:50:04: ( 9 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 1969688444 , Life Leech ) Aoife's Life Leech dissipates from Boss Practice Dummy.
06:50:04: ( 8 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 1969688444 , Life Leech ) Boss Practice Dummy is afflicted by Aoife's Life Leech.
06:50:05: ( 3 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 183 , 1969688444 , Life Leech ) Aoife's Life Leech hits Boss Practice Dummy for 183 Death damage. 
06:50:05: ( 1 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Unknown , 0 , 1661668470 , Void Bolt ) Aoife begins casting Void Bolt.
06:50:05: ( 5 , T=P#R=O#211669182725801768 , T=P#R=O#211669182725801768 , T=X#R=X#0 , T=X#R=X#0 , Kaoz , Kaoz , 439 , 1998712331 , Ironpine Melange ) Kaoz's Ironpine Melange heals Kaoz for 439. 
06:50:05: ( 23 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 202 , 993221111 , Necrosis ) Aoife's Necrosis critically hits Boss Practice Dummy for 202 Death damage. 
06:50:05: ( 23 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 230 , 1055329214 , Dark Touch ) Aoife's Dark Touch critically hits Boss Practice Dummy for 230 Death damage. 
06:50:06: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech heals Aoife for 0. 
06:50:06: ( 5 , T=P#R=O#211669182725801768 , T=P#R=O#211669182725801768 , T=X#R=X#0 , T=X#R=X#0 , Kaoz , Kaoz , 439 , 1998712331 , Ironpine Melange ) Kaoz's Ironpine Melange heals Kaoz for 439. 
06:50:06: ( 9 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 764255181 , Defile ) Aoife's Defile dissipates from Boss Practice Dummy.
06:50:06: ( 1 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Unknown , 0 , 1661668470 , Void Bolt ) Aoife begins casting Void Bolt.
06:50:06: ( 28 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech critically heals Aoife for 0. (107 overheal)
06:50:06: ( 23 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 275 , 1969688444 , Life Leech ) Aoife's Life Leech critically hits Boss Practice Dummy for 275 Death damage. 
06:50:07: ( 5 , T=P#R=O#211669182725801768 , T=P#R=O#211669182725801768 , T=X#R=X#0 , T=X#R=X#0 , Kaoz , Kaoz , 439 , 1998712331 , Ironpine Melange ) Kaoz's Ironpine Melange heals Kaoz for 439. 
06:50:07: ( 23 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 1019 , 1661668470 , Void Bolt ) Aoife's Void Bolt critically hits Boss Practice Dummy for 1019 Death damage. 
06:50:07: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 134 , 993221111 , Necrosis ) Boss Practice Dummy suffers 134 Death damage from Aoife's Necrosis. 
06:50:07: ( 23 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 230 , 1055329214 , Dark Touch ) Aoife's Dark Touch critically hits Boss Practice Dummy for 230 Death damage. 
06:50:08: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech heals Aoife for 0. (68 overheal)
06:50:08: ( 9 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 1969688444 , Life Leech ) Aoife's Life Leech dissipates from Boss Practice Dummy.
06:50:08: ( 8 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 1969688444 , Life Leech ) Boss Practice Dummy is afflicted by Aoife's Life Leech.
06:50:08: ( 3 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 176 , 1969688444 , Life Leech ) Aoife's Life Leech hits Boss Practice Dummy for 176 Death damage. 
06:50:08: ( 5 , T=P#R=O#211669182725801768 , T=P#R=O#211669182725801768 , T=X#R=X#0 , T=X#R=X#0 , Kaoz , Kaoz , 439 , 1998712331 , Ironpine Melange ) Kaoz's Ironpine Melange heals Kaoz for 439. 
06:50:08: ( 1 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Unknown , 0 , 1661668470 , Void Bolt ) Aoife begins casting Void Bolt.
06:50:09: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech heals Aoife for 0. 
06:50:09: ( 3 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 644 , 1661668470 , Void Bolt ) Aoife's Void Bolt hits Boss Practice Dummy for 644 Death damage. 
06:50:09: ( 5 , T=P#R=O#211669182725801768 , T=P#R=O#211669182725801768 , T=X#R=X#0 , T=X#R=X#0 , Kaoz , Kaoz , 439 , 1998712331 , Ironpine Melange ) Kaoz's Ironpine Melange heals Kaoz for 439. 
06:50:09: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 134 , 993221111 , Necrosis ) Boss Practice Dummy suffers 134 Death damage from Aoife's Necrosis. 
